Birth StatePopulation ,
CA,12.15
TX,8.62
FL,6.38
NY,6.11
IL,3.96
PA,3.96
OH,3.59
GA,3.19
NC,3.14
MI,3.07
NJ,2.77
VA,2.6
WA,2.26
AZ,2.15
MA,2.11
TN,2.06
IN,2.05
MO,1.89
MD,1.86
WI,1.79
CO,1.72
MN,1.71
SC,1.54
AL,1.51
LA,1.45
KY,1.37
OR,1.27
OK,1.21
CT,1.11
IA,0.97
UT,0.94
MS,0.93
AK,0.93
NV,0.91
KS,0.9
NM,0.64
NE,0.59
WV,0.57
ID,0.52
HI,0.44
NH,0.41
ME,0.41
RI,0.33
MT,0.32
DE,0.3
SD,0.27
ND,0.24
AK,0.23
VT,0.19
WY,0.18
